Wall time,Step,Value
1549619965,1491,0.433040768
1549621711,1493,0.439599156
1549621713,1494,0.430368632
1549621736,1502,0.4488267
1549621738,1503,0.454204738
1549621739,1504,0.445716739
1549621747,1508,0.628750026
1549621751,1510,0.593007207
1549621755,1512,0.582212985
1549621771,1520,0.464131147
1549621781,1525,0.440177411
1549621783,1526,0.436656266
1549621789,1529,0.439348072
1549621804,1536,0.433416665
1549621850,1548,0.396375299
1549621860,1553,0.394089371
1549621862,1554,0.391116947
1549621866,1556,0.374042988
1549621868,1557,0.379005909
1549621880,1563,0.375196725
1549621894,1570,0.375913233
1549621896,1571,0.373315096
1549621914,1580,0.386694074
1549621922,1584,0.379219204
1549621926,1586,0.381509632
1549621934,1590,0.416202605
1549621952,1599,0.4473643
1549621962,1604,0.448416054
1549621966,1606,0.439555556
1549621968,1607,0.443167627
1549621978,1612,0.453320593
1549621994,1620,0.419759721
1549621998,1622,0.393220395
1549622012,1629,0.405180335
1549622014,1630,0.417062789
1549622022,1634,0.397776932
1549622032,1639,0.362629384
1549622038,1642,0.359726429
1549622042,1644,0.360775024
1549622048,1647,0.352637827
1549622054,1650,0.358658731
1549622062,1654,0.371813715
1549622078,1662,0.330816597
1549622094,1670,0.358776301
1549622098,1672,0.350680649
1549622102,1674,0.35282883
1549622108,1677,0.358284444
1549622110,1678,0.355277121
1549622122,1684,0.347398102
1549622124,1685,0.340369016
1549622140,1693,0.347303957
1549622146,1696,0.340273708
1549622148,1697,0.513353944
1549622150,1698,0.498044699
1549622152,1699,0.489650369
1549622156,1701,0.449379236
1549622161,1704,0.417958021
1549622175,1711,0.391588658
1549622177,1712,0.383094192
1549622191,1719,0.353422761
1549622193,1720,0.347067446
1549622195,1721,0.343582273
1549622235,1730,0.366881996
1549622243,1734,0.369901597
1549622247,1736,0.365106821
1549622249,1737,0.380826145
1549622252,1739,0.374722719
1549622263,1744,0.343899161
1549622264,1745,0.351183385
1549622268,1747,0.356998235
1549622271,1748,0.349609941
1549622273,1749,0.354255289
1549622278,1752,0.3434062
1549622282,1754,0.369942129
1549622286,1756,0.350030392
1549622310,1768,0.311253935
1549622328,1777,0.282602131
1549622340,1783,0.287597984
1549622342,1784,0.30087167
1549622354,1790,0.302511156
1549622356,1791,0.29709509
1549622375,1800,0.296704471
1549622389,1807,0.292092323
1549622404,1815,0.322365254
1549622406,1816,0.321671516
1549622412,1819,0.31242311
1549622427,1826,0.283789098
1549622431,1828,0.291114956
1549622438,1832,0.280212015
1549622458,1842,0.266612172
1549622460,1843,0.288325191
1549622466,1846,0.295808285
1549622476,1851,0.282539099
1549622484,1855,0.278883249
1549622510,1868,0.310363412
1549622514,1870,0.324882507
1549622516,1871,0.331724048
1549622527,1877,0.308256984
1549622529,1878,0.317561716
1549622531,1879,0.319936246
1549622535,1881,0.316093743
1549622539,1883,0.326561898
1549622563,1895,0.496803522
1549622581,1904,0.345168442
1549622589,1908,0.321477115
1549622599,1913,0.315075725
